"index","id","name","alias","type","rating","review_count","price","location","latitude","longitude"
"39","968e6d9QUE2TsgP4WcaGVw","CF Food Kitchen","cf-food-kitchen-granada-hills-2","newamerican","4.5",521,"2",91344,"34.2577","-118.485"
"40","NgblvyxSQLMuc7BSU3v_QQ","Corner Grille","corner-grille-panorama-city","korean","4.5",926,"1",91402,"34.2211","-118.468"
"41","MwMSPROnVTYIOMLtXQcKyw","Pupuseria Cuzcatlan","pupuseria-cuzcatlan-pacoima","salvadoran","4.5",73,"1",91331,"34.271","-118.416"
"42","M80mz2a9NPcPeYw85f6xAw","Ceviches","ceviches-san-fernando","seafood","4.5",57,"1",91340,"34.2862","-118.438"
"43","ao_x5d8wmgaIT-MxT_tDqg","Antonio's Tacos & Kabob","antonios-tacos-and-kabob-pacoima","mexican","4.5",456,"1",91331,"34.2604","-118.43"
"44","nEqmi7bXMLFaPA4hNwq0aQ","Shawarma House","shawarma-house-sunland","bbq","4",179,"1",91040,"34.26","-118.319"
"45","g1KeeJPA33Aaum8CNpv3rw","Nihari House","nihari-house-los-angeles","halal","4.5",205,"2",91331,"34.2557","-118.435"
"46","AGAdOZLEi0CrqdloQzysHA","Teriyaki Madness","teriyaki-madness-san-fernando","japanese","4",283,"1",91340,"34.2853","-118.444"
"47","bI0lt4WMLdk54UiAmem38w","Rosarito Fish Market","rosarito-fish-market-san-fernando","seafood","4.5",270,"2",91340,"34.2883","-118.448"
"48","cP3wMdnnUWcRR-xp8ynmPA","Annie's Sweet Oven","annies-sweet-oven-sylmar","coffee","5",161,"1",91342,"34.3218","-118.479"
"49","Ei-4NzVq5qCZdUm8SLg5uQ","The 19th Hole Restaurant","the-19th-hole-restaurant-sylmar","breakfast_brunch","4",36,"1",91342,"34.3116","-118.417"
"50","BEzAeUbwXemm5Jj0m_a7EQ","The Buffalo Spot","the-buffalo-spot-san-fernando","chicken_wings","3.5",70,"1",91340,"34.2847","-118.444"
"51","T5DSjFBrj0-VaZEP2m_IOA","Casa De Pizza","casa-de-pizza-granada-hills","pizza","4",644,"2",91344,"34.2722","-118.484"
"52","wMzUAgCIREA32imc2JL2Bw","Rococo Ramen","rococo-ramen-granada-hills","ramen","4",275,"2",91366,"34.2577","-118.501"
"53","zEPZ3uJHMcxIgmta7VlUNQ","Corner Kebab","corner-kebab-san-fernando","mediterranean","4.5",213,"2",91340,"34.2824","-118.452"
"54","p_XqKt6auvfGSNTnrjBpqA","Rok N' Sushi","rok-n-sushi-sylmar","sushi","3.5",192,"2",91342,"34.3095","-118.432"
"55","rLXaXy0VHbmOpkCYTJxCWA","Joselito's Mexican Food","joselitos-mexican-food-tujunga","mexican","4",451,"2",91042,"34.2499","-118.291"
"56","hQT2xuAwtIIp_z3Qu-x7Zg","Rise N Shine Cafe","rise-n-shine-cafe-los-angeles","breakfast_brunch","4.5",303,"2",91040,"34.2472","-118.357"
"57","m_jlO1g3RnnMaNm2dPGmJA","El Tarasco","el-tarasco-sylmar","mexican","3.5",351,"2",91342,"34.3075","-118.45"
"58","xipFMYKod-PHrdYhVJh8wQ","Corner Grill","corner-grill-los-angeles-4","newamerican","4.5",298,"2",91042,"34.2467","-118.275"
"59","AHU5uffxctPUbSO_uinN7g","Wong's Kitchen","wongs-kitchen-arleta","cantonese","4",248,"1",91331,"34.2465","-118.421"
"60","7R-Cc6Xsgu_SPTF65Z0OSg","Myke's Cafe","mykes-cafe-los-angeles","cafes","4",835,"2",91331,"34.268","-118.42"
"61","YAy4oUm_5Rto_4VXvRd13g","Chiba Restaurant","chiba-restaurant-north-hollywood-2","sushi","4.5",475,"2",91605,"34.2069","-118.388"
"62","y0_g5wGWfe17xGbo0lOh2g","Caruso's Italian Kitchen","carusos-italian-kitchen-tujunga","cocktailbars","3.5",202,"2",91042,"34.2599","-118.302"
"63","hi5Ww2z6nROrZn8qr2Lt6Q","Carrillo's Tortilleria","carrillos-tortilleria-san-fernando","mexican","4",284,"1",91340,"34.2841","-118.446"
"64","EpN3b3L47ML_zaf-kOtiFw","Magaly's Tamales and Mexican Grill","magalys-tamales-and-mexican-grill-san-fernando","mexican","4",269,"1",91340,"34.2847","-118.44"
"65","xnD4-ZLo8ZYT5hGqEMj5rA","WaBa Grill","waba-grill-san-fernando","hotdogs","3",97,"1",91342,"34.2937","-118.418"
"66","oDPW39wgGkeV_roeRhT2Fw","Corsica Italian Delicatessen","corsica-italian-delicatessen-sunland","italian","4.5",197,"2",91040,"34.2599","-118.31"
"67","Eyy2vnN8so8L54Q28BXtSQ","La Sabrosa Restaurant","la-sabrosa-restaurant-los-angeles-2","salvadoran","4",72,"1",91342,"34.3077","-118.449"
"68","4sd6TbIwu8IDdbygMi1Cpw","Key Burger","key-burger-pacoima","burgers","4.5",40,"1",91331,"34.2692","-118.407"
"69","Xb0eYy6t5a-BfA2ovtRBhg","Krazy Korner Restaurant","krazy-korner-restaurant-san-fernando","juicebars","4.5",50,"1",91340,"34.2817","-118.44"
"70","s_eAJubtuVZQfr4Jxnkn1A","La Tapatia Grill","la-tapatia-grill-los-angeles","tradamerican","4.5",5,"1",91331,"34.2577","-118.396"
"71","EaMzHK08tP41iA9qAYN16A","Heavenly Pancakes","heavenly-pancakes-san-fernando-2","breakfast_brunch","3.5",258,"2",91340,"34.2901","-118.433"
"72","gKxf3cjlD_BRGDDUHmh7RQ","Casa Torres Restaurant And Cantina","casa-torres-restaurant-and-cantina-sylmar","mexican","3",286,"2",91342,"34.2984","-118.441"
"73","0cab3VAMWN37xd0v0TtnBw","Mama Licha's Kitchen","mama-lichas-kitchen-los-angeles","mexican","4",173,"1",91342,"34.3117","-118.435"
"74","nWBChWkIS8jCizC-R1Llbw","O.Tofu & Pankko","o-tofu-and-pankko-granada-hills","korean","4.5",1164,"2",91344,"34.2566","-118.5"
"75","OXTadNdvVndu3dBqYDCWnw","The Bear Pit Bar-B-Que","the-bear-pit-bar-b-que-mission-hills-2","bbq","3.5",1020,"2",91345,"34.2669","-118.468"
"76","xDC6cPgl72j1sWzFdZG8EQ","Buon Gusto Ristorante","buon-gusto-ristorante-mission-hills-2","italian","4",289,"2",91345,"34.2575","-118.47"
"77","i3-HTKMrcGZK_cSqmvIW4Q","Stuffed Crepe","stuffed-crepe-los-angeles","creperies","5",6,"2",91331,"34.2569","-118.419"
"78","ikOKkDlTlSBL04Z2wHXYMQ","Code Blue Cafe","code-blue-cafe-sunland-2","newamerican","4",113,"2",91040,"34.2598","-118.306"
"79","nvQ8cAa99GXVGeZKOPMkYg","Martin Fierro Asados","martin-fierro-asados-los-angeles-2","catering","5",18,"3",91343,"34.2346","-118.497"
"80","7VkKAjPcLpswD6BAwFUFPQ","TacosWay","tacosway-san-fernando-2","mexican","2.5",476,"2",91340,"34.2854","-118.444"
"81","xo0-BIUzme089FK6io6yzA","Cocohut Thai Restaurant","cocohut-thai-restaurant-los-angeles","thai","4",221,"1",91331,"34.2646","-118.438"
"82","bBUuJjxjUk4XewsMzdW8ZQ","Vegatinos","vegatinos-panorama-city-2","tacos","4.5",165,"1",91402,"34.2094","-118.431"
"83","igPHaZyzXL4O-3eVd8ausQ","Shakey's Pizza Parlor","shakeys-pizza-parlor-sylmar-2","pizza","2",135,"2",91342,"34.309","-118.432"
"84","AuTu9J2PKxT5CurM4EYaOA","Bean Sprouts","bean-sprouts-los-angeles-2","gluten_free","3.5",17,"1",91342,"34.2726","-118.393"
"85","e38e8beoAlpKTAiito56qA","Mi Casita","mi-casita-sunland","mexican","4",182,"2",91040,"34.2599","-118.309"
"86","HaoSNN0sK2FjA7MFHjaiDw","Freddys Tacos","freddys-tacos-san-fernando-3","foodtrucks","4.5",27,"1",91340,"34.2897","-118.411"
"87","O6Qf97vWL-kx6TyCY62kzQ","Doña Chuy's Restaurant","doña-chuys-restaurant-los-angeles-2","mexican","4",91,"2",91342,"34.3079","-118.431"
"88","zw7drID-xY0MldixZlpgoQ","Jeje Chicken","jeje-chicken-granada-hills-7","mediterranean","4.5",674,"1",91344,"34.2716","-118.501"
"89","oH4wMVr6d90tUAGcMGlLLw","Winzza","winzza-los-angeles-3","pizza","3.5",70,"1",91342,"34.3097","-118.434"
"90","_r--a0UZZNvs8YYA2yb_6Q","Tommy's Famous Drive-Thru","tommys-famous-drive-thru-san-fernando","burgers","3.5",98,"1",91340,"34.2854","-118.439"
"91","mf4Aa0B_hRGWPxFF1LSslw","Graciana Mexican Restaurant","graciana-mexican-restaurant-san-fernando-2","mexican","4",140,"2",91340,"34.2982","-118.438"
"92","q2nLUA5qygExD4bCxnK1HA","Tacos Charly","tacos-charly-pacoima","mexican","4",169,"1",91331,"34.2647","-118.438"
"93","zET2-R9cFIrVLq_-jYwOQQ","Jabal Lebnan Mediterranean Kitchen","jabal-lebnan-mediterranean-kitchen-san-fernando-valley","mediterranean","4",194,"2",91352,"34.2294","-118.367"
"94","PFqR8re73dBFdW3CBjVJPA","Crazy Hot Wings","crazy-hot-wings-los-angeles-2","salad","4.5",399,"1",91042,"34.2479","-118.286"
"95","5DwDCMWi2EnLgUdp7rqvrg","Mama's Grill","mamas-grill-tujunga","mediterranean","5",65,"1",91042,"34.2531","-118.296"
"96","vlyZdLgDTiHXiQkkRUWdYQ","In-N-Out Burger","in-n-out-burger-san-fernando-2","burgers","4",204,"1",91340,"34.278","-118.453"
"97","4KuwlGlLDJgj7byA97A5yg","Sur Sushi","sur-sushi-north-hills","foodtrucks","4.5",159,"1",91343,"34.2428","-118.464"
"98","7R32Nwt4staizqIG8iv4qQ","The Habit Burger Grill","the-habit-burger-grill-mission-hills","burgers","3.5",71,"1",93436,"34.2591","-118.466"
"99","pZt8AMPj3Qj8mkz_yWKx3A","El Faro Tacos","el-faro-tacos-san-fernando-2","mexican","4",295,"1",91340,"34.2974","-118.423"
"100","1SJ2U22sCksr-srvR8ym5Q","Mercado Buenos Aires","mercado-buenos-aires-granada-hills-2","delis","4",261,"2",91344,"34.2577","-118.484"
"101","MJ-DXb2JLrxXfZFf7GhFGQ","Don Cucos Taco Truck","don-cucos-taco-truck-san-fernando","mexican","4",190,"1",91342,"34.2936","-118.416"
"102","OBbupmYiB_mWS1rwHVf8GA","Molcajete Restaurant","molcajete-restaurant-san-fernando-2","mexican","5",2,"1",91340,"34.2905","-118.449"
"103","lrFJHANF4S4JtdScfJozXQ","Fiddlers Three Restaurant","fiddlers-three-restaurant-sylmar","tradamerican","3.5",105,"1",91342,"34.3012","-118.442"
"104","hQBM1TcgmNTtSv9r34LMog","Ras Noodle","ras-noodle-los-angeles","thai","4.5",285,"1",91402,"34.2196","-118.432"
"105","Gw15086859SNCv_359mbmA","Estos Tacos","estos-tacos-san-fernando-2","tacos","5",23,"1",91340,"34.2872","-118.434"
