labels_km,value,distance_centroid,price_1.0,price_2.0,price_3.0,price_4.0,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5.0,type_aa_other,type_asianfusion,type_bakeries,type_bars,type_bbq,type_breakfast_brunch,type_burgers,type_cafes,type_chicken_wings,type_chinese,type_cocktailbars,type_coffee,type_convenience,type_delis,type_desserts,type_diners,type_divebars,type_donuts,type_filipino,type_foodstands,type_foodtrucks,type_french,type_grocery,type_hotdogs,type_icecream,type_indpak,type_italian,type_japanese,type_juicebars,type_korean,type_latin,type_lounges,type_mediterranean,type_mexican,type_mideastern,type_newamerican,type_persian,type_pizza,type_ramen,type_salad,type_salvadoran,type_sandwiches,type_seafood,type_sportsbars,type_streetvendors,type_sushi,type_tacos,type_thai,type_tradamerican,type_vegan,type_vietnamese,type_wine_bars
25,388846.0,0.016218921722113512,111.0,17.0,0.0,0.0,0.0,0.0,4.0,16.0,16.0,17.0,16.0,26.0,28.0,5.0,2,0,3,0,2,0,6,2,4,9,0,0,5,0,0,0,0,0,0,0,6,0,0,14,2,0,0,4,0,0,0,0,0,35,0,2,0,6,0,0,6,6,4,0,2,2,0,2,4,0,0,0
26,1241491.0,0.016790414700544442,36.0,188.0,46.0,4.0,0.0,0.0,0.0,1.0,2.0,15.0,78.0,123.0,46.0,9.0,36,0,6,4,0,6,16,6,0,11,4,13,0,0,3,0,0,1,0,3,1,6,3,2,1,5,18,8,0,0,0,4,5,13,0,45,0,12,0,0,0,0,3,2,0,16,2,3,7,6,3,0
27,1391190.0,0.009193205273069683,63.0,267.0,31.0,1.0,0.0,0.0,0.0,2.0,7.0,25.0,98.0,160.0,68.0,2.0,53,0,19,4,7,14,9,5,2,1,0,32,0,6,4,2,2,2,0,0,0,14,0,3,10,6,30,2,3,2,0,6,10,22,5,29,0,10,0,4,0,9,0,5,0,10,0,9,0,2,3,6
28,550051.0,0.016413840260390437,140.0,106.0,2.0,0.0,0.0,1.0,4.0,15.0,20.0,30.0,53.0,81.0,37.0,7.0,20,0,4,6,4,8,10,3,2,8,0,8,4,0,3,7,3,2,0,2,4,0,4,12,1,0,10,4,0,0,0,1,2,48,0,2,0,22,0,0,2,8,10,3,1,2,2,4,8,0,2,2
29,1064154.0,0.01235526923076923,217.0,158.0,7.0,0.0,0.0,1.0,3.0,11.0,16.0,27.0,60.0,143.0,111.0,10.0,34,0,19,3,9,0,10,10,2,3,2,13,4,3,6,5,3,8,4,3,8,0,7,12,3,0,3,4,3,6,1,4,6,26,5,2,0,22,4,3,12,10,12,0,0,3,0,78,2,0,3,2
30,463197.0,0.00951237270087127,107.0,55.0,0.0,0.0,0.0,0.0,6.0,7.0,24.0,27.0,29.0,49.0,16.0,4.0,17,0,8,0,3,0,2,0,0,6,0,2,4,0,0,0,0,3,3,0,0,0,0,16,1,0,0,3,0,3,8,0,0,40,3,0,0,15,0,0,13,2,3,2,0,5,0,0,0,0,0,0
31,689613.0,0.01028215480649188,31.0,44.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,12.0,16.0,27.0,7.0,3.0,17,0,1,0,2,0,3,0,0,4,0,4,0,0,0,0,0,0,2,0,0,0,0,6,2,2,0,6,0,12,0,0,0,4,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,2,0
32,281208.0,0.008349498435870703,87.0,8.0,0.0,0.0,0.0,2.0,12.0,6.0,8.0,3.0,11.0,23.0,18.0,12.0,8,0,2,0,0,0,8,2,2,10,0,5,2,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,0,0,2,8,0,2,0,3,0,8,0,0,0
33,483011.0,0.011507926806083629,130.0,30.0,0.0,1.0,0.0,0.0,7.0,14.0,22.0,15.0,42.0,40.0,8.0,13.0,9,0,6,0,2,2,8,0,4,10,0,2,3,0,2,0,1,0,0,0,3,0,6,16,1,0,2,2,0,0,8,0,4,32,0,0,0,8,0,1,6,7,3,0,1,4,2,6,0,0,0,0
34,1197822.0,0.013702722989949718,65.0,161.0,14.0,6.0,0.0,1.0,0.0,0.0,9.0,14.0,56.0,100.0,61.0,5.0,30,0,6,3,6,5,6,6,0,9,4,16,0,5,1,2,0,0,0,0,1,4,2,2,7,5,8,5,4,3,0,1,4,13,4,15,0,22,2,1,0,9,0,2,0,22,0,7,2,2,0,0
