labels_km,value,distance_centroid,price_1.0,price_2.0,price_3.0,price_4.0,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5.0,type_aa_other,type_asianfusion,type_bakeries,type_bars,type_bbq,type_breakfast_brunch,type_burgers,type_cafes,type_chicken_wings,type_chinese,type_cocktailbars,type_coffee,type_convenience,type_delis,type_desserts,type_diners,type_divebars,type_donuts,type_filipino,type_foodstands,type_foodtrucks,type_french,type_grocery,type_hotdogs,type_icecream,type_indpak,type_italian,type_japanese,type_juicebars,type_korean,type_latin,type_lounges,type_mediterranean,type_mexican,type_mideastern,type_newamerican,type_persian,type_pizza,type_ramen,type_salad,type_salvadoran,type_sandwiches,type_seafood,type_sportsbars,type_streetvendors,type_sushi,type_tacos,type_thai,type_tradamerican,type_vegan,type_vietnamese,type_wine_bars
66,703549.0,0.012714591885441533,159.0,112.0,0.0,0.0,0.0,2.0,14.0,11.0,16.0,13.0,40.0,97.0,68.0,10.0,39,3,14,0,3,3,12,8,0,15,0,13,9,3,2,3,2,5,0,0,0,0,3,13,1,0,5,3,0,0,6,2,9,47,7,0,3,20,0,0,6,3,0,0,0,0,3,6,0,0,0,0
67,648913.0,0.015862316250842893,73.0,46.0,0.0,0.0,0.0,0.0,1.0,15.0,8.0,15.0,24.0,34.0,16.0,6.0,11,0,6,1,1,2,8,0,0,4,0,2,2,3,0,0,2,0,0,0,0,0,0,9,2,4,2,5,0,0,0,0,3,14,0,0,2,15,0,0,0,6,0,0,0,7,0,5,0,0,3,0
68,775713.0,0.011654797202797178,162.0,133.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,23.0,49.0,124.0,82.0,15.0,43,3,18,12,3,9,10,12,0,4,3,20,0,3,3,3,4,9,7,8,3,3,0,3,4,0,0,3,3,0,0,3,0,45,0,6,0,14,2,0,3,4,0,0,5,0,0,10,4,9,0,0
69,640219.0,0.012308231759656656,67.0,35.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,13.0,21.0,30.0,15.0,4.0,20,0,4,0,0,2,5,3,1,5,0,5,0,0,0,0,0,0,0,3,3,0,0,8,0,0,3,0,0,0,2,2,3,11,0,3,0,5,0,0,0,5,5,0,1,0,3,0,0,0,0,0
70,366639.0,0.013450745989304829,132.0,21.0,2.0,0.0,0.0,0.0,8.0,26.0,9.0,22.0,30.0,37.0,15.0,8.0,19,0,5,0,0,0,7,0,2,0,0,0,6,0,2,0,0,0,0,0,3,0,2,14,4,0,0,0,0,0,5,0,0,49,0,0,0,18,0,0,2,2,6,0,2,0,0,5,2,0,0,0
71,837824.0,0.013477794694348321,87.0,97.0,5.0,0.0,0.0,0.0,0.0,8.0,23.0,37.0,44.0,52.0,19.0,6.0,19,2,1,2,2,4,4,3,0,4,1,11,1,6,2,3,0,2,0,3,8,0,0,7,2,0,1,4,0,0,0,1,2,14,2,12,3,9,3,2,0,11,2,5,0,6,0,8,14,0,3,0
72,291883.0,0.013632167483660114,94.0,25.0,0.0,0.0,0.0,2.0,7.0,16.0,2.0,18.0,15.0,22.0,22.0,15.0,10,0,4,0,0,4,20,0,8,3,0,0,4,0,2,2,0,0,0,0,3,0,5,14,4,0,3,0,0,0,0,0,0,19,0,0,0,7,0,0,0,2,3,0,0,0,0,0,2,0,0,0
73,1448583.0,0.02563956363636363,14.0,113.0,57.0,43.0,0.0,0.0,0.0,2.0,2.0,15.0,72.0,92.0,38.0,6.0,14,0,10,7,0,3,1,6,0,6,3,19,0,7,1,2,0,0,0,0,4,8,1,0,4,0,37,10,1,0,3,5,7,6,0,23,0,2,0,4,0,0,6,0,0,14,0,0,3,3,4,3
74,491036.0,0.010473794849023114,101.0,64.0,1.0,0.0,0.0,0.0,5.0,16.0,17.0,22.0,30.0,46.0,26.0,4.0,20,0,7,0,3,0,9,0,3,8,0,3,2,0,0,0,2,2,0,0,5,0,0,17,4,0,1,10,0,0,9,0,5,15,2,1,3,8,0,0,0,8,2,3,1,0,0,3,3,0,7,0
75,445730.0,0.012962690399136986,87.0,29.0,3.0,0.0,0.0,0.0,0.0,15.0,28.0,17.0,20.0,25.0,6.0,8.0,7,0,0,0,3,0,6,0,3,3,0,7,5,2,0,0,2,7,0,0,3,0,0,15,0,0,3,0,0,0,0,0,0,20,0,4,0,8,0,0,3,6,3,0,0,0,0,6,3,0,0,0
76,1375309.0,0.009657112582781456,140.0,254.0,35.0,3.0,0.0,0.0,0.0,6.0,10.0,34.0,107.0,165.0,95.0,15.0,62,0,8,7,3,16,9,19,0,5,3,27,2,0,14,0,6,2,0,3,7,5,2,10,24,0,11,3,8,1,0,4,5,30,0,39,3,6,3,6,0,3,0,3,10,14,15,4,13,6,6,5
77,551522.0,0.014547330128205123,99.0,93.0,0.0,0.0,0.0,0.0,2.0,17.0,24.0,45.0,23.0,52.0,21.0,8.0,21,2,8,4,5,4,10,0,2,2,0,9,1,3,4,4,0,0,2,2,0,0,0,18,12,0,4,6,0,0,4,0,2,12,2,2,2,14,2,2,0,10,0,2,1,2,0,6,6,0,0,0
78,1213602.0,0.010417347826086961,95.0,293.0,24.0,12.0,0.0,0.0,2.0,9.0,10.0,35.0,99.0,168.0,89.0,12.0,63,8,7,7,5,18,11,2,5,8,4,26,3,4,1,0,0,7,0,1,4,8,2,12,8,14,19,17,1,3,0,8,8,10,0,13,2,31,12,3,0,21,9,2,0,5,0,24,0,5,3,0
79,525156.0,0.012510663023679385,129.0,74.0,0.0,1.0,0.0,0.0,6.0,10.0,17.0,21.0,32.0,74.0,39.0,5.0,14,2,12,0,2,0,2,0,0,2,0,6,4,0,2,4,0,0,2,0,2,0,4,20,1,0,5,4,1,0,2,1,6,36,5,2,0,12,2,2,2,4,4,1,0,6,2,20,4,2,2,0
80,1459051.0,0.014558250000000002,57.0,277.0,124.0,22.0,0.0,0.0,0.0,3.0,4.0,21.0,116.0,228.0,101.0,7.0,69,0,10,15,0,11,17,8,0,6,6,24,0,4,5,2,2,0,0,0,0,9,0,0,7,5,40,31,8,0,4,7,9,17,5,45,0,24,7,9,0,5,12,0,0,23,3,7,12,0,7,5
81,446687.0,0.013190874755381608,104.0,29.0,0.0,0.0,0.0,2.0,2.0,16.0,27.0,12.0,25.0,28.0,16.0,5.0,8,0,7,0,2,2,4,1,2,6,0,5,3,0,0,0,0,3,5,0,4,0,0,13,3,0,0,2,0,2,6,0,1,20,0,0,0,8,0,0,2,4,5,0,1,1,4,5,4,0,0,0
82,1196267.0,0.010010886194029841,78.0,183.0,7.0,0.0,0.0,0.0,1.0,2.0,10.0,12.0,69.0,117.0,55.0,2.0,20,0,8,5,0,4,10,1,0,10,5,31,1,6,2,6,2,0,6,0,8,3,0,1,4,6,21,0,0,0,0,8,12,17,0,10,3,12,0,3,2,2,0,3,0,9,0,16,3,0,3,5
83,380922.0,0.013928984423676004,188.0,62.0,0.0,0.0,0.0,3.0,18.0,18.0,34.0,14.0,57.0,50.0,42.0,14.0,24,0,10,2,0,6,9,3,12,0,0,5,2,6,7,0,2,3,0,0,0,0,0,18,12,0,0,12,3,0,0,0,6,66,0,0,0,9,0,3,0,9,12,0,0,0,3,0,6,0,0,0
84,1314918.0,0.008428119999999992,24.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,33.0,4.0,1.0,6,0,0,1,0,2,2,4,0,2,0,2,0,2,0,0,1,2,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,8,0,6,0,2,0,0,0,4,2,4,0,0,0,2,2,0,4,0
85,1115763.0,0.009810721746575343,32.0,68.0,3.0,0.0,0.0,0.0,4.0,7.0,2.0,10.0,27.0,38.0,7.0,8.0,19,0,0,3,2,0,0,0,0,2,0,12,0,0,1,0,0,0,0,0,0,0,2,2,1,2,8,5,0,0,0,1,2,7,0,18,0,8,0,0,0,2,0,0,0,2,0,2,2,0,0,0
86,471165.0,0.008327960000000014,58.0,23.0,0.0,0.0,0.0,2.0,2.0,6.0,10.0,8.0,8.0,20.0,25.0,0.0,6,2,6,0,4,0,2,0,2,8,0,4,2,0,0,2,0,7,0,0,2,0,0,5,0,0,0,0,0,2,0,0,0,10,0,0,0,2,0,0,0,2,2,0,0,2,2,7,0,0,0,0
87,293557.0,0.016540137777777793,204.0,67.0,0.0,0.0,0.0,0.0,14.0,29.0,11.0,38.0,44.0,50.0,62.0,23.0,10,0,8,2,0,0,34,0,5,7,0,6,2,0,2,0,0,2,0,0,39,0,4,13,14,0,0,2,0,0,3,0,0,57,0,5,0,13,0,0,9,8,5,2,16,0,3,0,0,0,0,0
88,425116.0,0.011502714754098371,65.0,44.0,6.0,0.0,0.0,0.0,1.0,3.0,2.0,10.0,30.0,47.0,19.0,3.0,15,1,7,1,1,1,4,1,0,0,0,4,2,2,7,1,1,1,0,1,0,0,0,5,3,1,0,19,0,3,0,0,1,10,0,2,0,1,4,0,0,4,0,0,2,3,0,2,0,0,4,1
89,691108.0,0.018402269888475813,48.0,35.0,3.0,0.0,0.0,0.0,2.0,3.0,8.0,11.0,13.0,23.0,25.0,1.0,14,0,7,0,0,2,2,0,0,4,0,2,1,2,1,0,1,0,0,0,3,0,2,4,4,0,2,0,0,4,0,0,3,6,0,0,2,10,0,2,0,5,0,0,1,2,0,0,0,0,0,0
90,469686.0,0.014443771595900436,166.0,54.0,0.0,2.0,0.0,0.0,2.0,17.0,30.0,16.0,45.0,61.0,40.0,11.0,12,3,4,0,0,1,9,0,2,10,0,6,4,2,6,3,1,1,2,3,7,0,5,15,1,9,0,6,0,1,8,0,4,38,0,3,0,18,0,0,4,8,1,0,4,5,0,4,5,0,7,0
91,1092241.0,0.011600086805555547,89.0,177.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,51.0,118.0,75.0,10.0,64,0,7,0,1,7,5,8,0,6,0,33,1,8,6,1,0,3,0,2,21,5,0,4,2,6,4,5,0,3,1,2,3,18,0,9,0,11,3,2,0,4,1,2,0,10,0,0,3,0,0,0
92,870992.0,0.010058067289719632,195.0,241.0,12.0,0.0,0.0,0.0,7.0,7.0,9.0,37.0,87.0,179.0,113.0,9.0,27,2,18,5,12,4,7,4,1,16,2,28,1,3,14,0,4,8,0,0,8,0,0,9,9,3,7,15,4,150,6,3,0,23,0,3,0,12,10,0,8,2,5,0,2,3,0,2,0,0,8,0
93,486158.0,0.011650111652852277,101.0,35.0,4.0,0.0,0.0,0.0,0.0,3.0,21.0,19.0,23.0,37.0,32.0,5.0,6,0,5,0,0,4,4,2,0,4,0,5,4,0,1,0,2,1,0,0,0,0,1,11,1,2,2,5,0,6,2,0,2,21,2,0,2,14,0,0,6,3,2,1,0,2,2,10,3,0,2,0
94,1251251.0,0.0104070909090909,97.0,213.0,45.0,9.0,0.0,0.0,1.0,0.0,11.0,25.0,100.0,168.0,54.0,5.0,52,0,13,5,0,15,6,12,2,14,0,18,1,2,5,3,0,0,0,1,3,0,2,1,5,10,28,21,6,3,3,0,14,22,5,6,3,14,0,9,0,6,3,3,1,25,0,7,3,0,6,6
95,1554918.0,0.02040000909090906,5.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,18.0,18.0,16.0,0.0,4,0,4,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,15,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0
96,819075.0,0.01912947666335655,23.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,21.0,8.0,5.0,0.0,4,0,0,0,0,0,4,0,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,0,4,0,0,0,4,0,2,2,0,0,0
97,553324.0,0.010548723225030086,38.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,19.0,11.0,10.0,12.0,0.0,2,0,5,0,0,3,4,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,4,5,0,0,6,0,0,0,0,0,2,0,5,0,5,0,0,0,7,5,0,0,0,0,0,3,0,0,0
98,1116058.0,0.017925701927829985,109.0,187.0,18.0,1.0,0.0,0.0,7.0,5.0,11.0,27.0,62.0,136.0,58.0,9.0,32,4,5,4,4,2,8,2,2,9,2,14,1,2,6,0,0,4,0,0,5,6,7,16,7,8,15,12,5,0,0,1,6,20,6,11,0,21,4,8,0,3,5,4,0,18,0,5,14,4,2,1
99,632068.0,0.013665575908766941,104.0,37.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,6.0,23.0,49.0,36.0,15.0,4,0,10,0,1,3,4,3,0,2,0,7,1,2,0,2,0,5,9,1,5,0,2,3,3,3,0,5,0,0,0,2,10,29,0,0,0,4,0,0,2,3,0,0,1,0,7,3,3,2,0,0
100,414204.0,0.012261889574759948,51.0,14.0,1.0,0.0,0.0,1.0,3.0,4.0,9.0,7.0,7.0,15.0,15.0,5.0,1,0,1,0,0,0,4,0,1,5,0,2,0,0,1,0,0,2,0,1,3,0,2,8,1,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,2,0,3,0,0,2,2,0,1,0,0,0
101,659932.0,0.01972809841827767,53.0,28.0,1.0,1.0,0.0,0.0,0.0,7.0,10.0,18.0,16.0,16.0,11.0,5.0,5,0,0,0,3,2,3,1,1,4,0,3,3,0,0,0,0,0,0,0,6,1,0,5,1,0,4,0,0,0,0,0,2,17,0,0,0,9,0,0,0,4,2,0,0,1,0,3,2,0,1,0
102,231103.0,0.006872241379310344,137.0,222.0,21.0,7.0,0.0,1.0,0.0,5.0,9.0,17.0,62.0,185.0,88.0,20.0,60,5,9,17,0,7,1,5,0,3,10,43,0,2,9,0,2,2,0,3,10,0,0,1,11,2,6,61,0,10,0,3,8,5,4,14,0,4,21,2,0,8,5,1,5,18,3,0,2,2,1,2
