,name,id,price,alias,type,category,rating,zip,latitude,longitude,labels_km,centroid_latitude,centroid_longitude,distance_centroid
25,Pizzaholic,scbNJdbb-DvMd1-6s6mICg,2.0,pizzaholic-pacoima,pizza,pizza,4.0,91331,34.2654,-118.402,25,34.277959375,-118.410546875,0.015192
26,Horchateria Rio Luna,_lIIomFEZFjvTOl-c3dtow,1.0,horchateria-rio-luna-san-fernando,desserts,desserts,4.0,91340,34.2857,-118.43799999999999,83,34.2834992,-118.442816,0.005295
27,Cha Chaa,U9jrrN-0x1W-eeGa8VMZRg,1.0,cha-chaa-los-angeles-2,thai,thai,4.5,91331,34.2648,-118.402,25,34.277959375,-118.410546875,0.015691
28,Sake Sake Japanese Cuisine,iFfJ2KctcVcZoZIdzgjr8w,2.0,sake-sake-japanese-cuisine-sunland,japanese,japanese,4.0,91040,34.26,-118.315,35,34.259617142857145,-118.31491428571428,0.000392
29,Link N Hops,4oy-kyDZxs5aY1cS0l_KcQ,2.0,link-n-hops-los-angeles-3,newamerican,newamerican,4.5,91040,34.2599,-118.307,35,34.259617142857145,-118.31491428571428,0.007919
30,Buffalo Bruce's Mercantile,4iAYVVXHKlgT99oElE-4sw,1.0,buffalo-bruces-mercantile-sylmar,coffee,coffee,4.5,91342,34.3073,-118.431,48,34.30643088235294,-118.43566176470588,0.004742
31,Cítrico Ceviche,wgtKqTxfoprlR_EwNzlIhQ,1.0,cítrico-ceviche-los-angeles-2,seafood,seafood,5.0,91345,34.2724,-118.465,75,34.26344369747899,-118.46993277310925,0.010225
32,Xevichez Sushi Bar,Cu6pHULKN4kxiKCknmnYdA,2.0,xevichez-sushi-bar-los-angeles-2,japanese,japanese,3.0,91342,34.2983,-118.441,48,34.30643088235294,-118.43566176470588,0.009727
33,Ay Papa Que Rico,zpamkyBk8NMwbs7sxGk8lQ,2.0,ay-papa-que-rico-arleta,cuban,cuban,4.5,91331,34.2542,-118.439,70,34.25516193548387,-118.42916129032258,0.009886
34,Rice Avenue,0GH7d6je3Jwl6UzT9fCfyQ,1.0,rice-avenue-sunland,thai,thai,4.0,91040,34.2596,-118.322,35,34.259617142857145,-118.31491428571428,0.007086
35,Odyssey,FkCXYECSMNyLjLQiz3r2TA,3.0,odyssey-granada-hills,newamerican,newamerican,4.0,91344,34.2827,-118.473,75,34.26344369747899,-118.46993277310925,0.019499
36,ToriYen Sushi Ramen Japanese Restaurant,I5Snm_F8dXU4G3HsZcMiQQ,2.0,toriyen-sushi-ramen-japanese-restaurant-tujunga-7,sushi,sushi,4.0,91042,34.2512,-118.294,63,34.24760666666667,-118.2822,0.012335
37,Papa Juan's Baja Grill,dTX7RzdU0EJHaTQfAAatng,2.0,papa-juans-baja-grill-san-fernando,mexican,mexican,4.0,91340,34.2857,-118.43799999999999,83,34.2834992,-118.442816,0.005295
38,Like's Thai & Chinese Food,txAe8UjYwCBv85UVasGyiQ,1.0,likes-thai-and-chinese-food-los-angeles-2,thai,thai,4.5,91040,34.2599,-118.323,35,34.259617142857145,-118.31491428571428,0.008091
39,CF Food Kitchen,968e6d9QUE2TsgP4WcaGVw,2.0,cf-food-kitchen-granada-hills-2,newamerican,newamerican,4.5,91344,34.2577,-118.485,75,34.26344369747899,-118.46993277310925,0.016125
40,Corner Grille,NgblvyxSQLMuc7BSU3v_QQ,1.0,corner-grille-panorama-city,korean,korean,4.5,91402,34.2211,-118.46799999999999,81,34.22724511278196,-118.46795488721804,0.006145
41,Pupuseria Cuzcatlan,MwMSPROnVTYIOMLtXQcKyw,1.0,pupuseria-cuzcatlan-pacoima,salvadoran,salvadoran,4.5,91331,34.271,-118.416,25,34.277959375,-118.410546875,0.008841
42,Ceviches,M80mz2a9NPcPeYw85f6xAw,1.0,ceviches-san-fernando,seafood,seafood,4.5,91340,34.2862,-118.43799999999999,83,34.2834992,-118.442816,0.005522
43,Antonio's Tacos & Kabob,ao_x5d8wmgaIT-MxT_tDqg,1.0,antonios-tacos-and-kabob-pacoima,mexican,mexican,4.5,91331,34.2604,-118.43,70,34.25516193548387,-118.42916129032258,0.005305
44,Shawarma House,nEqmi7bXMLFaPA4hNwq0aQ,1.0,shawarma-house-sunland,bbq,bbq,4.0,91040,34.26,-118.319,35,34.259617142857145,-118.31491428571428,0.004104
45,Nihari House,g1KeeJPA33Aaum8CNpv3rw,2.0,nihari-house-los-angeles,halal,halal,4.5,91331,34.2557,-118.435,70,34.25516193548387,-118.42916129032258,0.005863
46,Teriyaki Madness,AGAdOZLEi0CrqdloQzysHA,1.0,teriyaki-madness-san-fernando,japanese,japanese,4.0,91340,34.2853,-118.444,83,34.2834992,-118.442816,0.002155
47,Rosarito Fish Market,bI0lt4WMLdk54UiAmem38w,2.0,rosarito-fish-market-san-fernando,seafood,seafood,4.5,91340,34.2883,-118.448,83,34.2834992,-118.442816,0.007066
48,Annie's Sweet Oven,cP3wMdnnUWcRR-xp8ynmPA,1.0,annies-sweet-oven-sylmar,coffee,coffee,5.0,91342,34.3218,-118.479,12,34.308867647058825,-118.46705882352941,0.017602
49,The 19th Hole Restaurant,Ei-4NzVq5qCZdUm8SLg5uQ,1.0,the-19th-hole-restaurant-sylmar,breakfast_brunch,breakfast_brunch,4.0,91342,34.3116,-118.417,48,34.30643088235294,-118.43566176470588,0.019364
50,The Buffalo Spot,BEzAeUbwXemm5Jj0m_a7EQ,1.0,the-buffalo-spot-san-fernando,chicken_wings,chicken_wings,3.5,91340,34.2847,-118.444,83,34.2834992,-118.442816,0.001686
51,Casa De Pizza,T5DSjFBrj0-VaZEP2m_IOA,2.0,casa-de-pizza-granada-hills,pizza,pizza,4.0,91344,34.2722,-118.484,75,34.26344369747899,-118.46993277310925,0.01657
52,Corner Kebab,zEPZ3uJHMcxIgmta7VlUNQ,2.0,corner-kebab-san-fernando,mediterranean,mediterranean,4.5,91340,34.2824,-118.45200000000001,83,34.2834992,-118.442816,0.00925
53,Rok N' Sushi,p_XqKt6auvfGSNTnrjBpqA,2.0,rok-n-sushi-sylmar,sushi,sushi,3.5,91342,34.3095,-118.432,48,34.30643088235294,-118.43566176470588,0.004778
54,Joselito's Mexican Food,rLXaXy0VHbmOpkCYTJxCWA,2.0,joselitos-mexican-food-tujunga,mexican,mexican,4.0,91042,34.2499,-118.291,63,34.24760666666667,-118.2822,0.009094
55,Rise N Shine Cafe,hQT2xuAwtIIp_z3Qu-x7Zg,2.0,rise-n-shine-cafe-los-angeles,breakfast_brunch,breakfast_brunch,4.5,91040,34.2472,-118.35700000000001,5,34.22269411764706,-118.36675294117647,0.026375
56,El Tarasco,m_jlO1g3RnnMaNm2dPGmJA,2.0,el-tarasco-sylmar,mexican,mexican,3.5,91342,34.3075,-118.45,48,34.30643088235294,-118.43566176470588,0.014378
57,Corner Grill,xipFMYKod-PHrdYhVJh8wQ,2.0,corner-grill-los-angeles-4,newamerican,newamerican,4.5,91042,34.2467,-118.275,63,34.24760666666667,-118.2822,0.007257
58,Wong's Kitchen,AHU5uffxctPUbSO_uinN7g,1.0,wongs-kitchen-arleta,cantonese,cantonese,4.0,91331,34.2465,-118.421,70,34.25516193548387,-118.42916129032258,0.011901
59,Myke's Cafe,7R-Cc6Xsgu_SPTF65Z0OSg,2.0,mykes-cafe-los-angeles,cafes,cafes,4.0,91331,34.268,-118.42,25,34.277959375,-118.410546875,0.013731
60,Chiba Restaurant,YAy4oUm_5Rto_4VXvRd13g,2.0,chiba-restaurant-north-hollywood-2,sushi,sushi,4.5,91605,34.2069,-118.38799999999999,100,34.216013636363634,-118.39180303030302,0.009875
61,Caruso's Italian Kitchen,y0_g5wGWfe17xGbo0lOh2g,2.0,carusos-italian-kitchen-tujunga,cocktailbars,cocktailbars,3.5,91042,34.2599,-118.302,35,34.259617142857145,-118.31491428571428,0.012917
62,Carrillo's Tortilleria,hi5Ww2z6nROrZn8qr2Lt6Q,1.0,carrillos-tortilleria-san-fernando,mexican,mexican,4.0,91340,34.2841,-118.446,83,34.2834992,-118.442816,0.00324
63,Magaly's Tamales and Mexican Grill,EpN3b3L47ML_zaf-kOtiFw,1.0,magalys-tamales-and-mexican-grill-san-fernando,mexican,mexican,4.0,91340,34.2847,-118.44,83,34.2834992,-118.442816,0.003061
64,WaBa Grill,xnD4-ZLo8ZYT5hGqEMj5rA,1.0,waba-grill-san-fernando,hotdogs,hotdogs,3.0,91342,34.2937,-118.41799999999999,25,34.277959375,-118.410546875,0.017416
65,Corsica Italian Delicatessen,oDPW39wgGkeV_roeRhT2Fw,2.0,corsica-italian-delicatessen-sunland,italian,italian,4.5,91040,34.2599,-118.31,35,34.259617142857145,-118.31491428571428,0.004922
66,La Sabrosa Restaurant,Eyy2vnN8so8L54Q28BXtSQ,1.0,la-sabrosa-restaurant-los-angeles-2,salvadoran,salvadoran,4.0,91342,34.3077,-118.449,48,34.30643088235294,-118.43566176470588,0.013398
67,Key Burger,4sd6TbIwu8IDdbygMi1Cpw,1.0,key-burger-pacoima,burgers,burgers,4.5,91331,34.2692,-118.40700000000001,25,34.277959375,-118.410546875,0.00945
68,Krazy Korner Restaurant,Xb0eYy6t5a-BfA2ovtRBhg,1.0,krazy-korner-restaurant-san-fernando,juicebars,juicebars,4.5,91340,34.2817,-118.44,83,34.2834992,-118.442816,0.003342
69,La Tapatia Grill,s_eAJubtuVZQfr4Jxnkn1A,1.0,la-tapatia-grill-los-angeles,tradamerican,tradamerican,4.5,91331,34.2577,-118.396,25,34.277959375,-118.410546875,0.024941
70,Heavenly Pancakes,EaMzHK08tP41iA9qAYN16A,2.0,heavenly-pancakes-san-fernando-2,breakfast_brunch,breakfast_brunch,3.5,91340,34.2901,-118.43299999999999,83,34.2834992,-118.442816,0.011829
71,Casa Torres Restaurant And Cantina,gKxf3cjlD_BRGDDUHmh7RQ,2.0,casa-torres-restaurant-and-cantina-sylmar,mexican,mexican,3.0,91342,34.2984,-118.441,48,34.30643088235294,-118.43566176470588,0.009643
72,Mama Licha's Kitchen,0cab3VAMWN37xd0v0TtnBw,1.0,mama-lichas-kitchen-los-angeles,mexican,mexican,4.0,91342,34.3117,-118.435,48,34.30643088235294,-118.43566176470588,0.005311
73,O.Tofu & Pankko,nWBChWkIS8jCizC-R1Llbw,2.0,o-tofu-and-pankko-granada-hills,korean,korean,4.5,91344,34.2566,-118.5,46,34.26364513274336,-118.50138053097345,0.007179
74,The Bear Pit Bar-B-Que,OXTadNdvVndu3dBqYDCWnw,2.0,the-bear-pit-bar-b-que-mission-hills-2,bbq,bbq,3.5,91345,34.2669,-118.46799999999999,75,34.26344369747899,-118.46993277310925,0.00396
75,Buon Gusto Ristorante,xDC6cPgl72j1sWzFdZG8EQ,2.0,buon-gusto-ristorante-mission-hills-2,italian,italian,4.0,91345,34.2575,-118.47,75,34.26344369747899,-118.46993277310925,0.005944
76,Stuffed Crepe,i3-HTKMrcGZK_cSqmvIW4Q,2.0,stuffed-crepe-los-angeles,creperies,creperies,5.0,91331,34.2569,-118.419,70,34.25516193548387,-118.42916129032258,0.010309
77,Code Blue Cafe,ikOKkDlTlSBL04Z2wHXYMQ,2.0,code-blue-cafe-sunland-2,newamerican,newamerican,4.0,91040,34.2598,-118.306,35,34.259617142857145,-118.31491428571428,0.008916
78,Martin Fierro Asados,nvQ8cAa99GXVGeZKOPMkYg,3.0,martin-fierro-asados-los-angeles-2,catering,catering,5.0,91343,34.2346,-118.49700000000001,1,34.227752173913046,-118.50115942028985,0.008012
79,TacosWay,7VkKAjPcLpswD6BAwFUFPQ,2.0,tacosway-san-fernando-2,mexican,mexican,2.5,91340,34.2854,-118.444,83,34.2834992,-118.442816,0.002239
80,Cocohut Thai Restaurant,xo0-BIUzme089FK6io6yzA,1.0,cocohut-thai-restaurant-los-angeles,thai,thai,4.0,91331,34.2646,-118.43799999999999,70,34.25516193548387,-118.42916129032258,0.012931
81,Vegatinos,bBUuJjxjUk4XewsMzdW8ZQ,1.0,vegatinos-panorama-city-2,tacos,tacos,4.5,91402,34.2094,-118.431,79,34.1963681372549,-118.41851960784314,0.018044
82,Shakey's Pizza Parlor,igPHaZyzXL4O-3eVd8ausQ,2.0,shakeys-pizza-parlor-sylmar-2,pizza,pizza,2.0,91342,34.309,-118.432,48,34.30643088235294,-118.43566176470588,0.004473
83,Bean Sprouts,AuTu9J2PKxT5CurM4EYaOA,1.0,bean-sprouts-los-angeles-2,gluten_free,gluten_free,3.5,91342,34.2726,-118.39299999999999,25,34.277959375,-118.410546875,0.018347
84,Mi Casita,e38e8beoAlpKTAiito56qA,2.0,mi-casita-sunland,mexican,mexican,4.0,91040,34.2599,-118.309,35,34.259617142857145,-118.31491428571428,0.005921
85,Freddys Tacos,HaoSNN0sK2FjA7MFHjaiDw,1.0,freddys-tacos-san-fernando-3,foodtrucks,foodtrucks,4.5,91340,34.2897,-118.411,25,34.277959375,-118.410546875,0.011749
86,Doña Chuy's Restaurant,O6Qf97vWL-kx6TyCY62kzQ,2.0,doña-chuys-restaurant-los-angeles-2,mexican,mexican,4.0,91342,34.3079,-118.431,48,34.30643088235294,-118.43566176470588,0.004888
87,Jeje Chicken,zw7drID-xY0MldixZlpgoQ,1.0,jeje-chicken-granada-hills-7,mediterranean,mediterranean,4.5,91344,34.2716,-118.501,46,34.26364513274336,-118.50138053097345,0.007964
88,Winzza,oH4wMVr6d90tUAGcMGlLLw,1.0,winzza-los-angeles-3,pizza,pizza,3.5,91342,34.3097,-118.434,48,34.30643088235294,-118.43566176470588,0.003667
89,Tommy's Famous Drive-Thru,_r--a0UZZNvs8YYA2yb_6Q,1.0,tommys-famous-drive-thru-san-fernando,burgers,burgers,3.5,91340,34.2854,-118.439,83,34.2834992,-118.442816,0.004263
90,Graciana Mexican Restaurant,mf4Aa0B_hRGWPxFF1LSslw,2.0,graciana-mexican-restaurant-san-fernando-2,mexican,mexican,4.0,91340,34.2982,-118.43799999999999,48,34.30643088235294,-118.43566176470588,0.008557
91,Tacos Charly,q2nLUA5qygExD4bCxnK1HA,1.0,tacos-charly-pacoima,mexican,mexican,4.0,91331,34.2647,-118.43799999999999,70,34.25516193548387,-118.42916129032258,0.013004
92,Jabal Lebnan Mediterranean Kitchen,zET2-R9cFIrVLq_-jYwOQQ,2.0,jabal-lebnan-mediterranean-kitchen-san-fernando-valley,mediterranean,mediterranean,4.0,91352,34.2294,-118.367,5,34.22269411764706,-118.36675294117647,0.00671
93,Crazy Hot Wings,PFqR8re73dBFdW3CBjVJPA,1.0,crazy-hot-wings-los-angeles-2,salad,salad,4.5,91042,34.2479,-118.286,63,34.24760666666667,-118.2822,0.003811
94,Mama's Grill,5DwDCMWi2EnLgUdp7rqvrg,1.0,mamas-grill-tujunga,mediterranean,mediterranean,5.0,91042,34.2531,-118.296,63,34.24760666666667,-118.2822,0.014853
95,In-N-Out Burger,vlyZdLgDTiHXiQkkRUWdYQ,1.0,in-n-out-burger-san-fernando-2,burgers,burgers,4.0,91340,34.278,-118.45299999999999,83,34.2834992,-118.442816,0.011574
96,Sur Sushi,4KuwlGlLDJgj7byA97A5yg,1.0,sur-sushi-north-hills,foodtrucks,foodtrucks,4.5,91343,34.2428,-118.464,81,34.22724511278196,-118.46795488721804,0.01605
97,El Faro Tacos,pZt8AMPj3Qj8mkz_yWKx3A,1.0,el-faro-tacos-san-fernando-2,mexican,mexican,4.0,91340,34.2974,-118.42299999999999,48,34.30643088235294,-118.43566176470588,0.015552
98,Mercado Buenos Aires,1SJ2U22sCksr-srvR8ym5Q,2.0,mercado-buenos-aires-granada-hills-2,delis,delis,4.0,91344,34.2577,-118.484,75,34.26344369747899,-118.46993277310925,0.015195
99,Don Cucos Taco Truck,MJ-DXb2JLrxXfZFf7GhFGQ,1.0,don-cucos-taco-truck-san-fernando,mexican,mexican,4.0,91342,34.2936,-118.416,25,34.277959375,-118.410546875,0.016564
