,id,name,alias,type,rating,review_count,price,location,latitude,longitude
9751,zt5MFq6w5_Zj7vYUpRjigg,Fiesta Martin Mexican Grill,fiesta-martin-mexican-grill-inglewood-3,mexican,4.0,806,2.0,90302,33.980146000000005,-118.35784699999999
9752,PFi2KCQzPNqWMdw8HXcdAA,Pann's Restaurant,panns-restaurant-los-angeles,diners,4.0,1119,2.0,90045,33.97795,-118.37064
9753,oVEwUNzCot1zKrt9EmsyEQ,Randy's Donuts,randys-donuts-inglewood,donuts,4.0,2220,1.0,90301,33.96185,-118.37045
9754,WBZTSRrLka7HtjN2cR7cBw,Harriet's Cheesecakes Unlimited,harriets-cheesecakes-unlimited-inglewood,bakeries,4.5,378,2.0,90302,33.97664,-118.36551999999999
9755,q-EW9VbGiCgxDsMtBRF3LA,Lawry's The Prime Rib - Beverly Hills,lawrys-the-prime-rib-beverly-hills-beverly-hills,steak,4.0,3696,3.0,90211,34.067834421981395,-118.376046
9756,Sb_hPko42AEdCbX5Nut5hA,Red's Flavor Table,reds-flavor-table-los-angeles,cajun,4.0,530,2.0,90043,33.9743356,-118.32417179999999
9757,7GNQast7U3fmiVXRJoCOlg,Mendocino Farms,mendocino-farms-marina-del-rey,sandwiches,4.5,1838,2.0,90292,33.9792276,-118.4394997
9758,hNcjsM8KkQOw4PFciqkS-w,Equelecuá Cuban Cafe,equelecuá-cuban-cafe-inglewood-2,cuban,4.5,689,2.0,90301,33.9608934,-118.37614479999999
9759,uA3TautyZ7bby0w8Scwufg,Benny's Tacos & Chicken Rotisserie,bennys-tacos-and-chicken-rotisserie-los-angeles-4,mexican,4.5,1647,1.0,90045,33.95998,-118.41685
9760,w2GujMgLyd25SVTnCV7_Gw,Rusty Pot Cafe,rusty-pot-cafe-inglewood,breakfast_brunch,4.0,634,2.0,90301,33.95991,-118.35179509999999
9761,KHZGqHz9fS4crUo_rLEOlg,Maria's Ricos Tacos,marias-ricos-tacos-inglewood-3,breakfast_brunch,4.0,633,1.0,90301,33.96199,-118.36702
9762,Yf4lciWF90LPKIykRD-B9g,Dulan's Soul Food Kitchen,dulans-soul-food-kitchen-inglewood-2,soulfood,4.0,785,2.0,90301,33.9615531980178,-118.353024311364
9763,3h2iPFqxDyKsBQVsh6aVOw,Karuba's Yardy Kitchen,karubas-yardy-kitchen-inglewood-2,caribbean,4.5,118,2.0,90302,33.976890000000004,-118.36175
9764,QbVSWlLQa8ROaiVz9KQzfA,Front Page Jamaican Grille,front-page-jamaican-grille-inglewood,caribbean,4.5,469,2.0,90301,33.960440000000006,-118.37579
9765,RYA5VQ_8BJS6xilYG-BPkg,In-N-Out Burger,in-n-out-burger-los-angeles-2,burgers,4.0,1415,1.0,90045,33.9537021005473,-118.39677178902399
9766,SHiiQZQus20xnD-jW9oQuw,The Ramen Joint,the-ramen-joint-los-angeles-2,ramen,4.5,1032,2.0,90045,33.9583942,-118.3941804
9767,DnVyBXyfuDSecq9q3Lg65g,Orleans & York Deli,orleans-and-york-deli-inglewood,cajun,4.0,398,2.0,90301,33.9670954750967,-118.350255408564
9768,QjhDHm8-oiFxpZUe4kwfEw,JAMZ Creamery,jamz-creamery-inglewood,icecream,4.5,197,1.0,90301,33.9619049,-118.35280449999999
9769,Pk1m_Wnhw3wgD-GIuGfTxA,Aliki's Greek Taverna,alikis-greek-taverna-los-angeles,greek,4.5,946,2.0,90045,33.9524703946447,-118.38524200185199
9770,cAnHOEuT0MkiribpjnFVRg,Ayara Thai Cuisine,ayara-thai-cuisine-los-angeles,thai,4.0,1873,2.0,90045,33.95878,-118.39451000000001
9771,kb2avbx2tcVSjFzgsayd1A,Sweet Red Peach,sweet-red-peach-inglewood,bakeries,4.5,489,1.0,90301,33.9502641737571,-118.34421094970301
9772,Z6NectFobqlT3TOL1SehQg,Hash,hash-los-angeles-2,breakfast_brunch,4.0,555,2.0,90094,33.978852,-118.40565
9773,M2mLuHbmDzwR8QMGqdLjrQ,Truxton's American Bistro,truxtons-american-bistro-los-angeles,newamerican,4.0,1304,2.0,90045,33.959441999999996,-118.393598
9774,krc-Rd7VgkqutJx2_6OU8A,Roscoe's House of Chicken & Waffles,roscoes-house-of-chicken-and-waffles-inglewood,soulfood,3.5,1504,2.0,90301,33.962028000000004,-118.367368
9775,gvOwLa57365ElddwcUhIyw,Oo-Kook Korean BBQ,oo-kook-korean-bbq-los-angeles,korean,4.0,1728,2.0,90005,34.05786,-118.30273999999999
9776,Wz4LD7ABfwggHnICV30L6Q,The Coffee Company,the-coffee-company-los-angeles-2,coffee,4.0,1303,2.0,90045,33.957594,-118.39453600000002
9777,IBKcCJfozUg-0IwphlcCqg,Mingles Tea Bar,mingles-tea-bar-inglewood-2,desserts,5.0,103,1.0,90305,33.96203,-118.32783
9778,dcEY7sEa1ALOCaX8TQoNAg,La Michoacana Ricas Nieves,la-michoacana-ricas-nieves-inglewood-2,icecream,4.5,169,1.0,90301,33.9619452005574,-118.36017960308
9779,kDMsnq59lJAjMX1baGJPEA,Kanpai Japanese Sushi Bar & Grill,kanpai-japanese-sushi-bar-and-grill-los-angeles,japanese,4.0,1372,3.0,90045,33.96185,-118.4214
9780,4L6FyuHmnPqLrGgPNelATQ,Banadir Somali Restaurant,banadir-somali-restaurant-inglewood,somali,4.5,194,2.0,90301,33.9529310898503,-118.355894619804
9781,GBbbu-rQgybRSNlZGU4tRQ,Wok On The Wild Side,wok-on-the-wild-side-inglewood,chinese,4.0,326,2.0,90302,33.9757972,-118.3577898
9782,x88-aa_8pHxnfjj7fk7bHQ,The Good Cake Company,the-good-cake-company-inglewood,bakeries,4.5,111,1.0,90301,33.960161,-118.351087
9783,VscSML6lgNgjJbm41Jqjog,SOL Mexican Cocina,sol-mexican-cocina-los-angeles-3,bars,4.0,1026,2.0,90094,33.97607616706,-118.41696158919399
9784,iGuRzOYDp1VdHxT-krFc-g,Azabu Sabo,azabu-sabo-culver-city,japanese,4.0,267,2.0,90230,33.986087669243695,-118.39313650444599
9785,goOpupvfJhbzZdQb4vXeWg,Humble Potato,humble-potato-los-angeles,newamerican,4.0,855,2.0,90045,33.9620098,-118.42149440000001
9786,mjCYguLKVjNM4XvJnGZ_8w,One Poke,one-poke-el-segundo-4,hawaiian,4.5,587,2.0,90245,33.927311604614204,-118.383929394186
9787,5MBxxIZHnW_-DKR-RMGU-w,SUGARFISH by sushi nozawa,sugarfish-by-sushi-nozawa-marina-del-rey,japanese,4.0,1359,3.0,90292,33.9789043663204,-118.437985205749
9788,wEhXHMhq7NpPlqx68dMT3w,Bayou Grille,bayou-grille-inglewood,cajun,3.5,263,2.0,90302,33.98036,-118.35785
9789,fd7ogawotk0rXafXahdS3Q,Señor G's Fresh & Healthy Mexican Food,señor-gs-fresh-and-healthy-mexican-food-playa-del-rey-4,mexican,4.5,596,2.0,90293,33.960656,-118.44666200000002
9790,rVAsm6nKvD9CVsUhiW32ZA,Hungry Joe's Burgers & Jamaican Restaurant,hungry-joes-burgers-and-jamaican-restaurant-inglewood-2,burgers,4.0,163,2.0,90302,33.977868449741,-118.35714209938801
9791,SHF_vf1wyUa5zomj_ZJ8sQ,Casa Modena,casa-modena-culver-city-2,italian,4.5,167,2.0,90230,33.98595,-118.40133
9792,7OLtBz1kZ7eUn7emCGIlgw,Fresh Ethiopian Restaurant,fresh-ethiopian-restaurant-inglewood,ethiopian,4.0,158,2.0,90302,33.97711470000001,-118.36654579999998
9793,nkCmaZyWERlUY7BQlY1zGg,Family Fish Market,family-fish-market-inglewood,seafood,4.0,188,1.0,90302,33.9769733,-118.3618315
9794,C474KMUOoEvtL3j3u4KauA,Compari's,comparis-los-angeles,italian,4.0,228,2.0,90045,33.9769652,-118.37591270000001
9795,RA0AB7i8PXZslM6LmQ0F5A,Fiesta Martin Tacos,fiesta-martin-tacos-inglewood-5,tacos,4.0,106,2.0,90302,33.979819899999995,-118.35771000000001
9796,C93pdr3xaq_wU0Zj7LLs3A,Brothers Bar-B-Que,brothers-bar-b-que-los-angeles,bbq,3.5,378,2.0,90043,33.969372,-118.33121000000001
9797,yDGL1V1t-Fwn9KJIVcP7GQ,Lucille's Smokehouse Bar-B-Que,lucilles-smokehouse-bar-b-que-culver-city,bbq,3.5,804,2.0,90230,33.985354,-118.39508700000002
